Re(Z)/Ohm,-Im(Z)/Ohm,freq/Hz,Phase(Z)/deg,Unnamed: 4
14300.711,3011.4653,100003.71,-11.891686,
15069.03,2724.3555,89120.023,-10.247905,
12332.866,2125.7759,79433.273,-9.779789,
14091.985,1973.2698,70794.984,-7.9711733,
14162.333,1435.9048,63093.828,-5.7893782,
14007.212,1106.7949,56227.73,-4.5179009,
13115.942,1182.6018,50113.199,-5.1521549,
12174.34,897.20923,44666.715,-4.2148929,
8027.2158,1329.2308,39804.777,-9.4023199,
8306.1396,1453.8422,35471.723,-9.9280376,
7861.1333,1827.8245,31621.143,-13.0895,
6094.459,2653.4082,28178.818,-23.527367,
5185.8159,3193.364,25116.906,-31.624271,
6027.7295,3951.6973,22379.748,-33.248302,
5615.8623,4866.5005,19948.781,-40.911003,
5765.3711,6240.9292,17777.615,-47.268246,
7187.833,8489.8945,15847.683,-49.747616,
5045.0635,9633.1396,14121.883,-62.35807,
4211.021,10517.389,12581.654,-68.179504,
5260.7642,12617.674,11217.713,-67.366982,
5375.6133,14442.701,9992.9492,-69.584595,
6005.5557,14681.5,8905.0381,-67.752693,
4361.4512,14047.939,7936.1426,-72.752045,
5285.7119,16554.547,7075.3394,-72.292206,
6696.0742,20234.531,6307.7358,-71.68943,
6988.9883,21417.832,5622.5879,-71.92765,
7401.5127,27086.498,5008.3994,-74.716759,
9739.9814,24143.301,4463.5684,-68.029678,
3806.0964,24488.771,3978.7292,-81.165649,
8019.3242,30539.902,3546.1335,-75.287132,
197625.34,79959.641,3161.0132,-22.02836,
46258.816,79354.633,2815.9023,-59.760475,
24414.879,80529.484,2510.801,-73.133781,
14900.404,86407.773,2237.1487,-80.215973,
21766.447,77455.102,1994.364,-74.303566,
31929.346,108800.2,1776.7028,-73.644737,
34486.262,119284.7,1583.4794,-73.874947,
26730.541,101907.4,1411.3561,-75.302299,
28655.947,101927.05,1257.9858,-74.297112,
25690.092,105110.78,1121.074,-76.26561,
21012.156,105895.93,999.04089,-78.776993,
15245.089,106760.91,890.28479,-81.873299,
12054.016,115377.47,793.73273,-84.035683,
9123.1416,125148.04,707.49225,-85.830582,
6739.6626,136286.34,630.60522,-87.1689,
7165.1426,153708.34,561.97791,-87.331078,
7025.0132,171740.81,500.80121,-87.657639,
7730.6206,191700.97,446.28531,-87.690712,
9904.3652,213237.53,397.83566,-87.34066,
10542.354,240204.17,354.43307,-87.486954,
12595.285,269825.69,315.90982,-87.327408,
14534.724,301534.28,281.53137,-87.240334,
20402.82,336907.75,250.88341,-86.534454,
18508.121,377669.47,223.64035,-87.194397,
20061.795,422918.41,199.29855,-87.284119,
22484.203,472377.28,177.66878,-87.274895,
25767.516,524571.31,158.32782,-87.187828,
25387.465,589455.69,141.12889,-87.533836,
31339.711,661595.56,125.76431,-87.287933,
35139.172,738488.44,112.04332,-87.275772,
39085.254,823419.0,99.904091,-87.282379,
48206.457,928726.19,89.003143,-87.028671,
51660.813,1030668.5,79.365074,-87.130531,
59217.805,1159522.1,70.701538,-87.076393,
21362.146,1310537.8,63.004047,-89.066147,
35949.078,1428725.4,56.168289,-88.558647,
717522.88,1385363.5,50.048084,-62.618958,
131731.19,1872400.8,44.614525,-85.975632,
130075.22,2051602.4,39.758236,-86.3722,
201662.91,2238658.8,35.442337,-84.852577,
276598.5,2672526.5,31.58696,-84.091095,
158545.28,2946564.0,28.153137,-86.920067,
227437.53,3155917.0,25.088341,-85.877991,
278134.97,3516861.0,22.35338,-85.478111,
290908.06,3967276.5,19.929855,-85.806183,
300122.53,4578420.5,17.755703,-86.249542,
427949.56,4539530.5,15.82548,-84.61454,
343038.63,5634073.5,14.102012,-86.515762,
407361.81,6104622.5,12.573749,-86.182312,
497582.63,6915620.0,11.200682,-85.884628,
619142.0,7641899.5,9.9840012,-85.36805,
994012.38,8443985.0,8.8980799,-83.286133,
735047.5,9106989.0,7.9314413,-85.385521,
847321.25,10557646.0,7.0701542,-85.411469,
951210.25,11876571.0,6.3004045,-85.420883,
2345535.5,12945131.0,5.6124253,-79.729965,
1624903.5,14582055.0,5.0048084,-83.641663,
2067143.8,15486093.0,4.4591875,-82.396881,
2917967.8,17753384.0,3.9738045,-80.666252,
3108629.5,20487032.0,3.541477,-81.371956,
