Re(Z)/Ohm	-Im(Z)/Ohm	freq/Hz	Phase(Z)/deg	
1.4300711E+004	3.0114653E+003	1.0000371E+005	-1.1891686E+001
1.5069030E+004	2.7243555E+003	8.9120023E+004	-1.0247905E+001
1.2332866E+004	2.1257759E+003	7.9433273E+004	-9.7797890E+000
1.4091985E+004	1.9732698E+003	7.0794984E+004	-7.9711733E+000
1.4162333E+004	1.4359048E+003	6.3093828E+004	-5.7893782E+000
1.4007212E+004	1.1067949E+003	5.6227730E+004	-4.5179009E+000
1.3115942E+004	1.1826018E+003	5.0113199E+004	-5.1521549E+000
1.2174340E+004	8.9720923E+002	4.4666715E+004	-4.2148929E+000
8.0272158E+003	1.3292308E+003	3.9804777E+004	-9.4023199E+000
8.3061396E+003	1.4538422E+003	3.5471723E+004	-9.9280376E+000
7.8611333E+003	1.8278245E+003	3.1621143E+004	-1.3089500E+001
6.0944590E+003	2.6534082E+003	2.8178818E+004	-2.3527367E+001
5.1858159E+003	3.1933640E+003	2.5116906E+004	-3.1624271E+001
6.0277295E+003	3.9516973E+003	2.2379748E+004	-3.3248302E+001
5.6158623E+003	4.8665005E+003	1.9948781E+004	-4.0911003E+001
5.7653711E+003	6.2409292E+003	1.7777615E+004	-4.7268246E+001
7.1878330E+003	8.4898945E+003	1.5847683E+004	-4.9747616E+001
5.0450635E+003	9.6331396E+003	1.4121883E+004	-6.2358070E+001
4.2110210E+003	1.0517389E+004	1.2581654E+004	-6.8179504E+001
5.2607642E+003	1.2617674E+004	1.1217713E+004	-6.7366982E+001
5.3756133E+003	1.4442701E+004	9.9929492E+003	-6.9584595E+001
6.0055557E+003	1.4681500E+004	8.9050381E+003	-6.7752693E+001
4.3614512E+003	1.4047939E+004	7.9361426E+003	-7.2752045E+001
5.2857119E+003	1.6554547E+004	7.0753394E+003	-7.2292206E+001
6.6960742E+003	2.0234531E+004	6.3077358E+003	-7.1689430E+001
6.9889883E+003	2.1417832E+004	5.6225879E+003	-7.1927650E+001
7.4015127E+003	2.7086498E+004	5.0083994E+003	-7.4716759E+001
9.7399814E+003	2.4143301E+004	4.4635684E+003	-6.8029678E+001
3.8060964E+003	2.4488771E+004	3.9787292E+003	-8.1165649E+001
8.0193242E+003	3.0539902E+004	3.5461335E+003	-7.5287132E+001
1.9762534E+005	7.9959641E+004	3.1610132E+003	-2.2028360E+001
4.6258816E+004	7.9354633E+004	2.8159023E+003	-5.9760475E+001
2.4414879E+004	8.0529484E+004	2.5108010E+003	-7.3133781E+001
1.4900404E+004	8.6407773E+004	2.2371487E+003	-8.0215973E+001
2.1766447E+004	7.7455102E+004	1.9943640E+003	-7.4303566E+001
3.1929346E+004	1.0880020E+005	1.7767028E+003	-7.3644737E+001
3.4486262E+004	1.1928470E+005	1.5834794E+003	-7.3874947E+001
2.6730541E+004	1.0190740E+005	1.4113561E+003	-7.5302299E+001
2.8655947E+004	1.0192705E+005	1.2579858E+003	-7.4297112E+001
2.5690092E+004	1.0511078E+005	1.1210740E+003	-7.6265610E+001
2.1012156E+004	1.0589593E+005	9.9904089E+002	-7.8776993E+001
1.5245089E+004	1.0676091E+005	8.9028479E+002	-8.1873299E+001
1.2054016E+004	1.1537747E+005	7.9373273E+002	-8.4035683E+001
9.1231416E+003	1.2514804E+005	7.0749225E+002	-8.5830582E+001
6.7396626E+003	1.3628634E+005	6.3060522E+002	-8.7168900E+001
7.1651426E+003	1.5370834E+005	5.6197791E+002	-8.7331078E+001
7.0250132E+003	1.7174081E+005	5.0080121E+002	-8.7657639E+001
7.7306206E+003	1.9170097E+005	4.4628531E+002	-8.7690712E+001
9.9043652E+003	2.1323753E+005	3.9783566E+002	-8.7340660E+001
1.0542354E+004	2.4020417E+005	3.5443307E+002	-8.7486954E+001
1.2595285E+004	2.6982569E+005	3.1590982E+002	-8.7327408E+001
1.4534724E+004	3.0153428E+005	2.8153137E+002	-8.7240334E+001
2.0402820E+004	3.3690775E+005	2.5088341E+002	-8.6534454E+001
1.8508121E+004	3.7766947E+005	2.2364035E+002	-8.7194397E+001
2.0061795E+004	4.2291841E+005	1.9929855E+002	-8.7284119E+001
2.2484203E+004	4.7237728E+005	1.7766878E+002	-8.7274895E+001
2.5767516E+004	5.2457131E+005	1.5832782E+002	-8.7187828E+001
2.5387465E+004	5.8945569E+005	1.4112889E+002	-8.7533836E+001
3.1339711E+004	6.6159556E+005	1.2576431E+002	-8.7287933E+001
3.5139172E+004	7.3848844E+005	1.1204332E+002	-8.7275772E+001
3.9085254E+004	8.2341900E+005	9.9904091E+001	-8.7282379E+001
4.8206457E+004	9.2872619E+005	8.9003143E+001	-8.7028671E+001
5.1660813E+004	1.0306685E+006	7.9365074E+001	-8.7130531E+001
5.9217805E+004	1.1595221E+006	7.0701538E+001	-8.7076393E+001
2.1362146E+004	1.3105378E+006	6.3004047E+001	-8.9066147E+001
3.5949078E+004	1.4287254E+006	5.6168289E+001	-8.8558647E+001
7.1752288E+005	1.3853635E+006	5.0048084E+001	-6.2618958E+001
1.3173119E+005	1.8724008E+006	4.4614525E+001	-8.5975632E+001
1.3007522E+005	2.0516024E+006	3.9758236E+001	-8.6372200E+001
2.0166291E+005	2.2386588E+006	3.5442337E+001	-8.4852577E+001
2.7659850E+005	2.6725265E+006	3.1586960E+001	-8.4091095E+001
1.5854528E+005	2.9465640E+006	2.8153137E+001	-8.6920067E+001
2.2743753E+005	3.1559170E+006	2.5088341E+001	-8.5877991E+001
2.7813497E+005	3.5168610E+006	2.2353380E+001	-8.5478111E+001
2.9090806E+005	3.9672765E+006	1.9929855E+001	-8.5806183E+001
3.0012253E+005	4.5784205E+006	1.7755703E+001	-8.6249542E+001
4.2794956E+005	4.5395305E+006	1.5825480E+001	-8.4614540E+001
3.4303863E+005	5.6340735E+006	1.4102012E+001	-8.6515762E+001
4.0736181E+005	6.1046225E+006	1.2573749E+001	-8.6182312E+001
4.9758263E+005	6.9156200E+006	1.1200682E+001	-8.5884628E+001
6.1914200E+005	7.6418995E+006	9.9840012E+000	-8.5368050E+001
9.9401238E+005	8.4439850E+006	8.8980799E+000	-8.3286133E+001
7.3504750E+005	9.1069890E+006	7.9314413E+000	-8.5385521E+001
8.4732125E+005	1.0557646E+007	7.0701542E+000	-8.5411469E+001
9.5121025E+005	1.1876571E+007	6.3004045E+000	-8.5420883E+001
2.3455355E+006	1.2945131E+007	5.6124253E+000	-7.9729965E+001
1.6249035E+006	1.4582055E+007	5.0048084E+000	-8.3641663E+001
2.0671438E+006	1.5486093E+007	4.4591875E+000	-8.2396881E+001
2.9179678E+006	1.7753384E+007	3.9738045E+000	-8.0666252E+001
3.1086295E+006	2.0487032E+007	3.5414770E+000	-8.1371956E+001
3.0565285E+006	2.3065756E+007	3.1578393E+000	-8.2451500E+001
3.4015463E+006	2.4661206E+007	2.8122737E+000	-8.2146683E+001
3.6373505E+006	2.8289464E+007	2.5064201E+000	-8.2673325E+001
2.8311143E+006	2.7975772E+007	2.2346973E+000	-8.4221413E+001
5.7795455E+006	3.4679308E+007	1.9909517E+000	-8.0538223E+001
5.7161050E+006	3.7050780E+007	1.7755703E+000	-8.1229691E+001
2.1487788E+006	4.7871008E+007	1.5814751E+000	-8.7429901E+001
1.2901331E+006	4.4135420E+007	1.4107078E+000	-8.8325653E+001
1.0547677E+007	5.2507972E+007	1.2568384E+000	-7.8641724E+001
1.0426164E+007	5.6931084E+007	1.1199117E+000	-7.9622047E+001
1.6653130E+007	6.6821784E+007	9.9776685E-001	-7.6005981E+001
1.2904947E+007	7.3256408E+007	8.8980794E-001	-8.0009201E+001
1.8795108E+007	7.7785384E+007	7.9266727E-001	-7.6416115E+001
1.8234048E+007	8.4913728E+007	7.0618093E-001	-7.7880569E+001
2.3574758E+007	9.0502024E+007	6.2983710E-001	-7.5399559E+001
2.9387010E+007	1.0549902E+008	5.6124258E-001	-7.4434692E+001
3.1468860E+007	1.1558399E+008	5.0003231E-001	-7.4769821E+001
4.0881836E+007	1.2560414E+008	4.4591874E-001	-7.1970886E+001
4.4980948E+007	1.3998179E+008	3.9727911E-001	-7.2186012E+001
4.9581012E+007	1.4816024E+008	3.5392344E-001	-7.1497467E+001
5.4014980E+007	1.6598179E+008	3.1545237E-001	-7.1973709E+001
6.5035680E+007	1.8008813E+008	2.8126836E-001	-7.0143700E+001
7.2078064E+007	2.0137818E+008	2.5077015E-001	-7.0306496E+001
8.3208736E+007	2.1728898E+008	2.2338629E-001	-6.9046135E+001
9.8043880E+007	2.3563093E+008	1.9910559E-001	-6.7408249E+001
1.0388018E+008	2.5576984E+008	1.7737970E-001	-6.7895615E+001
1.1940494E+008	2.6806946E+008	1.5809685E-001	-6.5990593E+001
1.4348715E+008	2.8924381E+008	1.4090538E-001	-6.3615055E+001
1.5060368E+008	3.2301638E+008	1.2561083E-001	-6.5003105E+001
1.7503299E+008	3.4920118E+008	1.1195615E-001	-6.3378220E+001
1.9320669E+008	3.7097760E+008	9.9786371E-002	-6.2489311E+001
2.1430224E+008	3.9688499E+008	8.8899583E-002	-6.1632702E+001
2.5104110E+008	4.3159293E+008	7.9209358E-002	-5.9815075E+001
2.7985792E+008	4.5708454E+008	7.0660561E-002	-5.8522228E+001
2.8761702E+008	4.7461011E+008	6.2969476E-002	-5.8783844E+001
3.4706477E+008	5.2757664E+008	5.6100115E-002	-5.6661198E+001
3.6849331E+008	5.6585408E+008	4.9976036E-002	-5.6927177E+001
