freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg,Unnamed: 5
1000000.0,1009.2135,13.06586,1009.298,-0.74174279,
794328.25,1010.9874,14.860533,1011.0966,-0.84213167,
630957.38,1013.0939,16.79656,1013.2332,-0.94984663,
501187.22,1015.5807,18.845032,1015.7556,-1.0630537,
398107.16,1018.4926,20.960405,1018.7083,-1.1789711,
316227.78,1021.8657,23.078468,1022.1262,-1.2937846,
251188.64,1025.72,25.116367,1026.0275,-1.402697,
199526.23,1030.0514,26.975851,1030.4047,-1.500167,
158489.31,1034.824,28.550604,1035.2178,-1.5803791,
125892.54,1039.9653,29.737616,1040.3904,-1.6379158,
100000.0,1045.3678,30.451115,1045.8113,-1.6685296,
79432.82,1050.8958,30.636105,1051.3422,-1.669835,
63095.734,1056.3993,30.277924,1056.8331,-1.64173,
50118.723,1061.7316,29.404896,1062.1387,-1.5864141,
39810.719,1066.7644,28.08325,1067.134,-1.5079993,
31622.777,1071.4014,26.405888,1071.7267,-1.4118329,
25118.865,1075.5818,24.478342,1075.8602,-1.3037257,
19952.623,1079.2808,22.405399,1079.5133,-1.1892647,
15848.932,1082.5027,20.28096,1082.6926,-1.0733253,
12589.254,1085.2738,18.182062,1085.4261,-0.95981115,
10000.0,1087.6339,16.166794,1087.754,-0.85159248,
7943.2822,1089.629,14.275069,1089.7225,-0.75058061,
6309.5732,1091.3069,12.531076,1091.3789,-0.6578775,
5011.8726,1092.7133,10.946433,1092.7681,-0.57395059,
3981.0718,1093.8896,9.5233498,1093.931,-0.49880171,
3162.2776,1094.8728,8.2574577,1094.9039,-0.43211275,
2511.8865,1095.6946,7.1401014,1095.7179,-0.37336305,
1995.2623,1096.3821,6.1601191,1096.3994,-0.32191798,
1584.8932,1096.9578,5.3051419,1096.9706,-0.27709353,
1258.9254,1097.4406,4.5625033,1097.4501,-0.23820031,
1000.0,1097.8463,3.9198411,1097.8533,-0.20457272,
794.32825,1098.1879,3.3654773,1098.193,-0.17558657,
630.95734,1098.4761,2.8886297,1098.4799,-0.15066865,
501.18723,1098.7198,2.4795125,1098.7227,-0.1293008,
398.10718,1098.9265,2.1293583,1098.9286,-0.11102024,
316.22775,1099.1024,1.8303928,1099.1039,-0.095417574,
251.18864,1099.2526,1.5757794,1099.2537,-0.082133494,
199.52623,1099.3811,1.3595462,1099.382,-0.070854604,
158.48932,1099.4919,1.1765081,1099.4926,-0.061309151,
125.89254,1099.5879,1.0221862,1099.5884,-0.053262625,
100.0,1099.6716,0.89273429,1099.672,-0.046513792,
79.432823,1099.7452,0.78486556,1099.7455,-0.040890813,
63.095734,1099.8108,0.69575775,1099.8109,-0.036246214,
50.118725,1099.8698,0.62296057,1099.8699,-0.032452032,
39.810719,1099.9233,0.56441259,1099.9236,-0.029400643,
31.622776,1099.9727,0.51862174,1099.9728,-0.027014157,
25.118864,1100.0186,0.48483872,1100.0187,-0.025253402,
19.952623,1100.0623,0.46294615,1100.0624,-0.024112143,
15.848932,1100.1062,0.45298207,1100.1063,-0.02359223,
12.589254,1100.1536,0.45444673,1100.1536,-0.023667496,
10.0,1100.2081,0.46554744,1100.2083,-0.024244417,
7.9432821,1100.2738,0.48249984,1100.2739,-0.025125749,
6.3095737,1100.353,0.49921358,1100.3531,-0.025994228,
5.0118723,1100.4451,0.50802475,1100.4452,-0.026450818,
3.9810717,1100.5447,0.50194651,1100.5448,-0.026131984,
3.1622777,1100.6436,0.47763556,1100.6437,-0.024864091,
2.5118864,1100.7328,0.43693829,1100.7329,-0.022743683,
1.9952623,1100.8068,0.38565129,1100.8068,-0.020072725,
1.5848932,1100.8635,0.33061421,1100.8636,-0.017207216,
1.2589254,1100.905,0.27733004,1100.905,-0.014433434,
1.0,1100.9341,0.22911303,1100.9342,-0.011923702,
0.79432821,1100.9541,0.18736462,1100.9541,-0.009750817,
0.63095737,1100.9677,0.15223117,1100.9677,-0.0079223067,
0.50118721,1100.9768,0.12319493,1100.9768,-0.0064111697,
0.39810717,1100.9832,0.099468552,1100.9832,-0.0051763994,
0.31622776,1100.9874,0.08021608,1100.9874,-0.0041744737,
