freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
1.0000000E+006	1.0092135E+003	1.3065860E+001	1.0092980E+003	-7.4174279E-001
7.9432825E+005	1.0109874E+003	1.4860533E+001	1.0110966E+003	-8.4213167E-001
6.3095738E+005	1.0130939E+003	1.6796560E+001	1.0132332E+003	-9.4984663E-001
5.0118722E+005	1.0155807E+003	1.8845032E+001	1.0157556E+003	-1.0630537E+000
3.9810716E+005	1.0184926E+003	2.0960405E+001	1.0187083E+003	-1.1789711E+000
3.1622778E+005	1.0218657E+003	2.3078468E+001	1.0221262E+003	-1.2937846E+000
2.5118864E+005	1.0257200E+003	2.5116367E+001	1.0260275E+003	-1.4026970E+000
1.9952623E+005	1.0300514E+003	2.6975851E+001	1.0304047E+003	-1.5001670E+000
1.5848931E+005	1.0348240E+003	2.8550604E+001	1.0352178E+003	-1.5803791E+000
1.2589254E+005	1.0399653E+003	2.9737616E+001	1.0403904E+003	-1.6379158E+000
1.0000000E+005	1.0453678E+003	3.0451115E+001	1.0458113E+003	-1.6685296E+000
7.9432820E+004	1.0508958E+003	3.0636105E+001	1.0513422E+003	-1.6698350E+000
6.3095734E+004	1.0563993E+003	3.0277924E+001	1.0568331E+003	-1.6417300E+000
5.0118723E+004	1.0617316E+003	2.9404896E+001	1.0621387E+003	-1.5864141E+000
3.9810719E+004	1.0667644E+003	2.8083250E+001	1.0671340E+003	-1.5079993E+000
3.1622777E+004	1.0714014E+003	2.6405888E+001	1.0717267E+003	-1.4118329E+000
2.5118865E+004	1.0755818E+003	2.4478342E+001	1.0758602E+003	-1.3037257E+000
1.9952623E+004	1.0792808E+003	2.2405399E+001	1.0795133E+003	-1.1892647E+000
1.5848932E+004	1.0825027E+003	2.0280960E+001	1.0826926E+003	-1.0733253E+000
1.2589254E+004	1.0852738E+003	1.8182062E+001	1.0854261E+003	-9.5981115E-001
1.0000000E+004	1.0876339E+003	1.6166794E+001	1.0877540E+003	-8.5159248E-001
7.9432822E+003	1.0896290E+003	1.4275069E+001	1.0897225E+003	-7.5058061E-001
6.3095732E+003	1.0913069E+003	1.2531076E+001	1.0913789E+003	-6.5787750E-001
5.0118726E+003	1.0927133E+003	1.0946433E+001	1.0927681E+003	-5.7395059E-001
3.9810718E+003	1.0938896E+003	9.5233498E+000	1.0939310E+003	-4.9880171E-001
3.1622776E+003	1.0948728E+003	8.2574577E+000	1.0949039E+003	-4.3211275E-001
2.5118865E+003	1.0956946E+003	7.1401014E+000	1.0957179E+003	-3.7336305E-001
1.9952623E+003	1.0963821E+003	6.1601191E+000	1.0963994E+003	-3.2191798E-001
1.5848932E+003	1.0969578E+003	5.3051419E+000	1.0969706E+003	-2.7709353E-001
1.2589254E+003	1.0974406E+003	4.5625033E+000	1.0974501E+003	-2.3820031E-001
1.0000000E+003	1.0978463E+003	3.9198411E+000	1.0978533E+003	-2.0457272E-001
7.9432825E+002	1.0981879E+003	3.3654773E+000	1.0981930E+003	-1.7558657E-001
6.3095734E+002	1.0984761E+003	2.8886297E+000	1.0984799E+003	-1.5066865E-001
5.0118723E+002	1.0987198E+003	2.4795125E+000	1.0987227E+003	-1.2930080E-001
3.9810718E+002	1.0989265E+003	2.1293583E+000	1.0989286E+003	-1.1102024E-001
3.1622775E+002	1.0991024E+003	1.8303928E+000	1.0991039E+003	-9.5417574E-002
2.5118864E+002	1.0992526E+003	1.5757794E+000	1.0992537E+003	-8.2133494E-002
1.9952623E+002	1.0993811E+003	1.3595462E+000	1.0993820E+003	-7.0854604E-002
1.5848932E+002	1.0994919E+003	1.1765081E+000	1.0994926E+003	-6.1309151E-002
1.2589254E+002	1.0995879E+003	1.0221862E+000	1.0995884E+003	-5.3262625E-002
1.0000000E+002	1.0996716E+003	8.9273429E-001	1.0996720E+003	-4.6513792E-002
7.9432823E+001	1.0997452E+003	7.8486556E-001	1.0997455E+003	-4.0890813E-002
6.3095734E+001	1.0998108E+003	6.9575775E-001	1.0998109E+003	-3.6246214E-002
5.0118725E+001	1.0998698E+003	6.2296057E-001	1.0998699E+003	-3.2452032E-002
3.9810719E+001	1.0999233E+003	5.6441259E-001	1.0999236E+003	-2.9400643E-002
3.1622776E+001	1.0999727E+003	5.1862174E-001	1.0999728E+003	-2.7014157E-002
2.5118864E+001	1.1000186E+003	4.8483872E-001	1.1000187E+003	-2.5253402E-002
1.9952623E+001	1.1000623E+003	4.6294615E-001	1.1000624E+003	-2.4112143E-002
1.5848932E+001	1.1001062E+003	4.5298207E-001	1.1001063E+003	-2.3592230E-002
1.2589254E+001	1.1001536E+003	4.5444673E-001	1.1001536E+003	-2.3667496E-002
1.0000000E+001	1.1002081E+003	4.6554744E-001	1.1002083E+003	-2.4244417E-002
7.9432821E+000	1.1002738E+003	4.8249984E-001	1.1002739E+003	-2.5125749E-002
6.3095737E+000	1.1003530E+003	4.9921358E-001	1.1003531E+003	-2.5994228E-002
5.0118723E+000	1.1004451E+003	5.0802475E-001	1.1004452E+003	-2.6450818E-002
3.9810717E+000	1.1005447E+003	5.0194651E-001	1.1005448E+003	-2.6131984E-002
3.1622777E+000	1.1006436E+003	4.7763556E-001	1.1006437E+003	-2.4864091E-002
2.5118864E+000	1.1007328E+003	4.3693829E-001	1.1007329E+003	-2.2743683E-002
1.9952623E+000	1.1008068E+003	3.8565129E-001	1.1008068E+003	-2.0072725E-002
1.5848932E+000	1.1008635E+003	3.3061421E-001	1.1008636E+003	-1.7207216E-002
1.2589254E+000	1.1009050E+003	2.7733004E-001	1.1009050E+003	-1.4433434E-002
1.0000000E+000	1.1009341E+003	2.2911303E-001	1.1009342E+003	-1.1923702E-002
7.9432821E-001	1.1009541E+003	1.8736462E-001	1.1009541E+003	-9.7508170E-003
6.3095737E-001	1.1009677E+003	1.5223117E-001	1.1009677E+003	-7.9223067E-003
5.0118721E-001	1.1009768E+003	1.2319493E-001	1.1009768E+003	-6.4111697E-003
3.9810717E-001	1.1009832E+003	9.9468552E-002	1.1009832E+003	-5.1763994E-003
3.1622776E-001	1.1009874E+003	8.0216080E-002	1.1009874E+003	-4.1744737E-003
2.5118864E-001	1.1009905E+003	6.4659372E-002	1.1009905E+003	-3.3648876E-003
1.9952624E-001	1.1009926E+003	5.2119341E-002	1.1009926E+003	-2.7122963E-003
1.5848932E-001	1.1009941E+003	4.2023953E-002	1.1009941E+003	-2.1869282E-003
1.2589253E-001	1.1009954E+003	3.3901151E-002	1.1009954E+003	-1.7642154E-003
1.0000000E-001	1.1009962E+003	2.7366074E-002	1.1009962E+003	-1.4241289E-003
7.9432823E-002	1.1009968E+003	2.2107219E-002	1.1009968E+003	-1.1504577E-003
6.3095734E-002	1.1009974E+003	1.7873572E-002	1.1009974E+003	-9.3013863E-004
5.0118722E-002	1.1009978E+003	1.4463356E-002	1.1009978E+003	-7.5267110E-004
3.9810717E-002	1.1009982E+003	1.1714600E-002	1.1009982E+003	-6.0962600E-004
3.1622775E-002	1.1009985E+003	9.4973752E-003	1.1009985E+003	-4.9424189E-004
2.5118865E-002	1.1009988E+003	7.7074831E-003	1.1009988E+003	-4.0109607E-004
1.9952623E-002	1.1009989E+003	6.2613445E-003	1.1009989E+003	-3.2583921E-004
1.5848933E-002	1.1009990E+003	5.0919116E-003	1.1009990E+003	-2.6498208E-004
1.2589254E-002	1.1009993E+003	4.1453685E-003	1.1009993E+003	-2.1572415E-004
9.9999998E-003	1.1009994E+003	3.3785037E-003	1.1009994E+003	-1.7581663E-004
7.9432819E-003	1.1009994E+003	2.7565979E-003	1.1009994E+003	-1.4345278E-004
6.3095735E-003	1.1009995E+003	2.2517387E-003	1.1009995E+003	-1.1718000E-004
5.0118724E-003	1.1009996E+003	1.8414702E-003	1.1009996E+003	-9.5829717E-005
3.9810715E-003	1.1009996E+003	1.5077146E-003	1.1009996E+003	-7.8461133E-005
3.1622776E-003	1.1009998E+003	1.2359067E-003	1.1009998E+003	-6.4316308E-005
2.5118864E-003	1.1009998E+003	1.0143025E-003	1.1009998E+003	-5.2784071E-005
1.9952622E-003	1.1009998E+003	8.3342491E-004	1.1009998E+003	-4.3371245E-005
1.5848932E-003	1.1009999E+003	6.8562001E-004	1.1009999E+003	-3.5679510E-005
1.2589254E-003	1.1009999E+003	5.6470011E-004	1.1009999E+003	-2.9386865E-005
1.0000000E-003	1.1009999E+003	4.6565902E-004	1.1009999E+003	-2.4232788E-005
7.9432823E-004	1.1009999E+003	3.8444204E-004	1.1009999E+003	-2.0006275E-005
6.3095737E-004	1.1009999E+003	3.1776229E-004	1.1009999E+003	-1.6536276E-005
5.0118723E-004	1.1009999E+003	2.6295241E-004	1.1009999E+003	-1.3683982E-005
3.9810716E-004	1.1009999E+003	2.1784565E-004	1.1009999E+003	-1.1336637E-005
3.1622776E-004	1.1010000E+003	1.8068001E-004	1.1010000E+003	-9.4025454E-006
2.5118864E-004	1.1010000E+003	1.5002114E-004	1.1010000E+003	-7.8070652E-006
1.9952623E-004	1.1010000E+003	1.2470005E-004	1.1010000E+003	-6.4893611E-006
1.5848932E-004	1.1010000E+003	1.0376298E-004	1.1010000E+003	-5.3998015E-006
